Dataset Name,Category,Download URL,Description,Size,Additional Info
CICIDS2017,Academic & Research,https://www.cs.unb.ca/~alashkar/Data-sets.asp,"Benign and common attacks with labeled flows, includes HTTP/HTTPS/FTP/SSH/email protocols",Large,"Full PCAPs and CSV files available"
CSE-CIC-IDS2018,Academic & Research,https://www.cs.unb.ca/~alashkar/Data-sets.asp,"DDoS attacks dataset with CICFlowMeter extracted features, 12 DDoS attack types",Large,"Training and testing sets, 80+ traffic features"
CTU-13 Dataset,Academic & Research,https://www.stratosphereips.org/datasets-ctu13,"13 botnet scenarios with labeled normal, botnet, and background traffic",1.9GB,Bidirectional NetFlow files included
CTU-13 Direct Download,Academic & Research,https://mcfp.felk.cvut.cz/publicDatasets/CTU-13-Dataset/CTU-13-Dataset.tar.bz2,Direct download link for CTU-13 complete dataset,1.9GB,Tar.bz2 archive
CTU-13 Extended,Academic & Research,https://www.stratosphereips.org/datasets-ctu13,Extended version with truncated pcap files of all traffic types,Larger than original,Privacy-protected but complete TCP/UDP/ICMP headers
CTU-13 on Kaggle,Academic & Research,https://www.kaggle.com/datasets/dhoogla/ctu13,Kaggle hosted version of CTU-13 dataset,1.9GB,Easy download through Kaggle platform
UNSW-NB15,Academic & Research,https://cloudstor.aarnet.edu.au/plus/index.php/s/2DhnLGDdEECo4ys?path=/UNSW-NB15,Australian Defence Force Academy dataset with modern attack types,100GB,Comprehensive labeled dataset
DARPA Intrusion Detection,Academic & Research,https://archive.ll.mit.edu/ideval/data/,Classic intrusion detection dataset from 1998-1999,Various,"Historical reference, widely cited"
ISCX 2012,Academic & Research,http://www.unb.ca/research/iscx/dataset/index.html,University of New Brunswick research dataset,80GB+,Created by Shiravi et al.
NSL-KDD,Academic & Research,Various sources,Improved version of KDD99 addressing statistical biases,Medium,Derivative of KDD99 with better distribution
KDD Cup 99,Academic & Research,Various sources,Classic machine learning dataset for intrusion detection,Medium,Widely used but has known limitations
UGR'16,Academic & Research,Various sources,Network traffic dataset from University of Granada,Large,Real network traffic with labeled attacks
Malware Traffic Analysis,Malware Traffic,https://www.malware-traffic-analysis.net/,Continuously updated malware traffic captures with PCAPs,Various,Updated since 2013 with exercises
PCAP Analysis,Malware Traffic,https://www.pcapanalysis.com,"Malware, exploit kits, DDoS attacks downloads",Various,Categorized by attack type
Stratosphere IPS Datasets,Malware Traffic,https://www.stratosphereips.org/datasets-overview,Multiple malware and normal traffic datasets,Various,Czech Technical University project
Contagio Malware Dump,Malware Traffic,http://contagiodump.blogspot.com/2013/04/collection-of-pcap-files-from-malware.html,"APT, crime, and Metasploit traffic",Various,Categorized malware collections
Hybrid Analysis,Malware Traffic,https://hybrid-analysis.com/,Free malware sandbox with downloadable PCAPs,Various,Online analysis with PCAP downloads
ThreatGlass,Malware Traffic,http://threatglass.com/,Online honeypot for web-based malware,Various,PCAP downloads for analyzed sites
Netresec Public PCAPs,General Repository,https://www.netresec.com/?page=PcapFiles,Comprehensive categorized collection,Various,"CDX, malware, forensics, SCADA/ICS, CTF"
GitHub Public-Pcaps,General Repository,https://github.com/thongsia/Public-Pcaps,Curated list of PCAP sources,N/A,Links to multiple repositories
GitHub TMInfosec,General Repository,https://github.com/neu5ron/TMInfosec/blob/master/Datasets/PCAPs.md,Organized PCAP dataset links,N/A,Comprehensive link collection
SecRepo,General Repository,https://www.secrepo.com/,Security-related data samples,Various,Curated security datasets
GitHub elcabezzonn,General Repository,https://github.com/elcabezzonn/Pcaps,"Malware, normal traffic, pentester tools",Various,Lab environment captures
401TRG Detections,General Repository,https://github.com/401trg/detections/tree/master/pcaps,Threat research group PCAPs,Various,Organized by detection type
WRCCDC,Competition & Exercise,https://archive.wrccdc.org/pcaps/,Western Regional Collegiate Cyber Defense Competition,1TB+,Real competition traffic
